detection,sampler,samplecode,vintage,name,open_date,sampled_date,added_to_cellartracker,notes,size
cuprac,davy,143,1001,Totti's Vino Rosso,,,n,Sangiovese Blend Italy,
cuprac,davy,144,2022,Cloudy Bay Sauvignon Blanc,,,y,,
cuprac,davy,145,2021,Blind Corner Orange,,,y,,
cuprac,davy,146,1001,Merivale White Semillon Sauvignon Blanc,,,n,house blend,
cuprac,davy,147,2020,Leeuwin Estate Cabernet Sauvignon Prelude,,,y,,
cuprac,davy,148,2022,Smallfry Wines Barossa Tangerine Dream,,,y,,
cuprac,davy,149,2020,Les Quatre Tours Côtes de Provence Rosé,,,y,,
cuprac,davy,150,2022,Lethbridge Wines Pinot Gris,,,y,,
cuprac,davy,151,1001,Allegra Pinot Grigio,,,n,,
cuprac,davy,152,2021,Baglio di Grìsi Grillo,,,y,,
cuprac,davy,153,2020,Prieuré Saint Côme Petit Chablis,,,y,,
cuprac,davy,154,2020,Leeuwin Estate Shiraz Art Series,,,y,,
cuprac,davy,155,1001,Totti's Vino Bianco,,,y,"Totti's Vino Bianco Pinot Grigio Friuli, It",
cuprac,colin,156,2021,Swinging Bridge Chardonnay Mrs Payten,,,y,,
cuprac,colin,157,2021,piagre gampania bianco,,,n,Cant identify this wine. Check with Colin,
cuprac,colin,158,2021,Terraviva Cerasuolo d'Abruzzo Giusi,,,y,,
cuprac,colin,159,2021,mamete prevostini monrose rosato,,,y,,
cuprac,colin,160,2022,chalmers vermentino,,,y,,
cuprac,jonathan,161,2021,le juice gamay,19/5/2023,,y,,
cuprac,jonathan,162,2019,giovanni rosso etna bianco,19/5/2023,,y,,
cuprac,jonathan,163,2015,yangarra shiraz,20/5/2023,,y,,
cuprac,jonathan,164,2015,yangarra grenache,20/5/2023,,y,,
cuprac,jonathan,165,2020,izway bruce shiraz,20/5/2023,,y,,
cuprac,jonathan,166,2021,joseph faiveley bourgogne pinot noir,26/5/2023,30/5/2023,y,,
cuprac,jonathan,167,2019,mauro molino dolcetto,26/5/2023,30/5/2023,y,,
cuprac,jonathan,168,2020,poggerino chianti,26/5/2023,30/5/2023,y,,
cuprac,jonathan,169,2021,st hugo gsm,26/5/2023,30/5/2023,y,,
cuprac,jonathan,170,2018,crawford river cabernets,26/5/2023,30/5/2023,y,,
cuprac,jonathan,171,2017,punset neh,26/5/2023,30/5/2023,y,,
cuprac,jonathan,172,2020,le macchiole bolgheri rosso,26/5/2023,30/5/2023,y,,
cuprac,jonathan,173,2022,Das Juice Pét Nat,26/5/2023,30/5/2023,y,,
cuprac,jonathan,174,2021,Babo Chianti,26/5/2023,30/5/2023,y,,
cuprac,jonathan,175,2017,andrea Oberto Barolo,26/5/2023,30/5/2023,y,,
cuprac,jonathan,176,2021,John Duval Wines Shiraz Concilio,26/5/2023,30/5/2023,y,,
cuprac,jonathan,177,2021,Torbreck Shiraz The Struie,26/5/2023,30/5/2023,y,,
cuprac,jonathan,178,2020,Orlando Grenache Cellar 13 GRENACHE,26/5/2023,30/5/2023,y,,
cuprac,jonathan,179,null,"mystery ""barret rady""",26/5/2023,30/5/2023,n,,
